02.09.2023|18|15|I|0
02.09.2023|13|7|I|0
02.09.2023|13|11|I|0
02.09.2023|10|1|I|0
02.09.2023|10|5|I|0
02.09.2023|15|6|I|0
02.09.2023|15|1|I|0
02.09.2023|19|5|I|0
02.09.2023|19|12|I|0
02.09.2023|9|15|I|0
02.09.2023|6|10|I|0
02.09.2023|6|11|I|0
03.09.2023|10|13|I|0
05.09.2023|6|10|V|0
05.09.2023|18|4|I|0
05.09.2023|3|15|I|0
05.09.2023|3|16|I|0
05.09.2023|17|10|I|0
05.09.2023|8|8|I|0
05.09.2023|8|1|I|0
06.09.2023|8|1|V|0
06.09.2023|13|11|V|0
06.09.2023|10|13|V|0
06.09.2023|19|5|V|0
06.09.2023|7|4|I|0
06.09.2023|17|12|I|0
06.09.2023|5|14|I|0
06.09.2023|5|10|I|0
07.09.2023|17|10|V|0
07.09.2023|19|12|V|0
07.09.2023|18|4|V|0
07.09.2023|10|1|V|0
07.09.2023|17|12|V|0
07.09.2023|6|11|V|0
07.09.2023|5|14|V|0
07.09.2023|3|15|V|0
07.09.2023|14|13|I|0
07.09.2023|18|9|I|0
07.09.2023|18|7|I|0
07.09.2023|4|5|I|0
07.09.2023|4|2|I|0
07.09.2023|9|9|I|0
07.09.2023|9|15|I|1
07.09.2023|7|2|I|0
08.09.2023|14|13|V|0
08.09.2023|15|1|V|0
08.09.2023|18|15|V|0
08.09.2023|5|10|V|0
08.09.2023|7|9|I|0
08.09.2023|18|7|I|1
08.09.2023|10|7|I|0
09.09.2023|18|9|V|0
09.09.2023|7|4|V|0
09.09.2023|10|7|V|0
09.09.2023|8|8|V|0
09.09.2023|8|7|I|0
09.09.2023|8|9|I|0
09.09.2023|5|2|I|0
09.09.2023|5|1|I|0
09.09.2023|4|14|I|0
09.09.2023|16|16|I|0
10.09.2023|4|2|V|0
10.09.2023|5|1|V|0
10.09.2023|8|7|V|0
10.09.2023|9|9|V|0
10.09.2023|9|15|V|0
10.09.2023|8|9|V|0
10.09.2023|3|16|V|0
10.09.2023|10|5|V|0
10.09.2023|2|10|I|0
10.09.2023|2|9|I|0
10.09.2023|14|13|I|0
10.09.2023|11|8|I|0
11.09.2023|2|10|V|0
11.09.2023|11|8|V|0
11.09.2023|2|3|I|0
11.09.2023|9|9|I|0
11.09.2023|6|2|I|0
11.09.2023|13|6|I|0
11.09.2023|13|10|I|0
11.09.2023|1|15|I|0
11.09.2023|1|3|I|0
12.09.2023|4|5|V|0
